Location,Sex,Incidence,Deaths,GDP_Per_Capita_2006,GDP_Per_Capita_2016,GDP_Per_Capita_Change,CPI_2006,CPI_2016,CPI_Change,PM2_5_2006,PM2_5_2016,PM2_5_Change,Population_2006,Population_2016,Population_Change
Mauritania,Both,0.557657413,0.605184897,1288.144,1536.854,0.19307624,79.945,125.229,0.566439427,41.87,46.67,0.114640554,3111906,4163534,0.337936943
Mauritius,Male,0.27967224,0.234829729,5695.969,9681.619,0.699731687,79.357,120.923,0.523784921,15.54,14.35,-0.076576577,1233996,1263473,0.023887436
Mauritius,Female,0.308145606,0.247049332,5695.969,9681.619,0.699731687,79.357,120.923,0.523784921,15.54,14.35,-0.076576577,1233996,1263473,0.023887436
Mauritius,Both,0.287733878,0.238236296,5695.969,9681.619,0.699731687,79.357,120.923,0.523784921,15.54,14.35,-0.076576577,1233996,1263473,0.023887436
Mexico,Male,0.143363196,0.116008969,9068.294,8739.756,-0.036229306,83.425,122.78,0.471741085,26.86,20.71,-0.228965004,107560153,123333376,0.146645598
Mexico,Female,0.318631036,0.301955399,9068.294,8739.756,-0.036229306,83.425,122.78,0.471741085,26.86,20.71,-0.228965004,107560153,123333376,0.146645598
Mexico,Both,0.200196052,0.176127795,9068.294,8739.756,-0.036229306,83.425,122.78,0.471741085,26.86,20.71,-0.228965004,107560153,123333376,0.146645598
Moldova,Male,-0.000183334,-0.009182791,1183.379,2880.439,1.434079868,73.459,144.358,0.965150628,19.14,16.36,-0.145245559,2880095,2802170,-0.027056399
Moldova,Female,0.039939044,0.023994602,1183.379,2880.439,1.434079868,73.459,144.358,0.965150628,19.14,16.36,-0.145245559,2880095,2802170,-0.027056399
Moldova,Both,0.007252826,-0.002940453,1183.379,2880.439,1.434079868,73.459,144.358,0.965150628,19.14,16.36,-0.145245559,2880095,2802170,-0.027056399
Mongolia,Male,0.327375969,0.278033814,1334.212,3660.151,1.743305412,60.192,163.742,1.720328283,39.73,38.22,-0.038006544,2558856,3056359,0.194423993
Mongolia,Female,0.293035575,0.242935017,1334.212,3660.151,1.743305412,60.192,163.742,1.720328283,39.73,38.22,-0.038006544,2558856,3056359,0.194423993
Mongolia,Both,0.320006468,0.270351671,1334.212,3660.151,1.743305412,60.192,163.742,1.720328283,39.73,38.22,-0.038006544,2558856,3056359,0.194423993
Montenegro,Male,0.020686639,0.002627144,4425.679,7033.605,0.589271386,84.61,110.725,0.30865146,25.56,20.92,-0.181533646,615025,622303,0.011833665
Montenegro,Female,0.114572434,0.082195799,4425.679,7033.605,0.589271386,84.61,110.725,0.30865146,25.56,20.92,-0.181533646,615025,622303,0.011833665
Montenegro,Both,0.04219122,0.02056048,4425.679,7033.605,0.589271386,84.61,110.725,0.30865146,25.56,20.92,-0.181533646,615025,622303,0.011833665
Morocco,Male,0.359517132,0.390494326,2196.012,2896.72,0.319082045,92.659,107.955,0.165078406,30.97,32.94,0.063609945,30804683,35126296,0.14029078
Morocco,Female,0.53730371,0.571501929,2196.012,2896.72,0.319082045,92.659,107.955,0.165078406,30.97,32.94,0.063609945,30804683,35126296,0.14029078
Morocco,Both,0.380538237,0.410312087,2196.012,2896.72,0.319082045,92.659,107.955,0.165078406,30.97,32.94,0.063609945,30804683,35126296,0.14029078
Mozambique,Male,0.367725404,0.444525724,434.04,428.926,-0.011782324,68.989,148.293,1.14951659,22.66,21.47,-0.052515446,21080110,27829942,0.320199088
Mozambique,Female,0.487985073,0.623253615,434.04,428.926,-0.011782324,68.989,148.293,1.14951659,22.66,21.47,-0.052515446,21080110,27829942,0.320199088
Mozambique,Both,0.407936037,0.499950569,434.04,428.926,-0.011782324,68.989,148.293,1.14951659,22.66,21.47,-0.052515446,21080110,27829942,0.320199088
Myanmar,Male,0.308002883,0.371115682,294.163,1266.546,3.305592478,53.436,138.283,1.587824687,43.32,36.03,-0.168282548,49301050,53045226,0.075945157
Myanmar,Female,0.372925852,0.311548516,294.163,1266.546,3.305592478,53.436,138.283,1.587824687,43.32,36.03,-0.168282548,49301050,53045226,0.075945157
Myanmar,Both,0.315807744,0.357750064,294.163,1266.546,3.305592478,53.436,138.283,1.587824687,43.32,36.03,-0.168282548,49301050,53045226,0.075945157
Nepal,Male,0.279000769,0.339403531,346.945,777.148,1.239974636,73.25,165.784,1.263262799,93.22,98.05,0.051812916,26066693,27261131,0.045822383
Nepal,Female,0.388638261,0.449942117,346.945,777.148,1.239974636,73.25,165.784,1.263262799,93.22,98.05,0.051812916,26066693,27261131,0.045822383
Nepal,Both,0.321112822,0.384730294,346.945,777.148,1.239974636,73.25,165.784,1.263262799,93.22,98.05,0.051812916,26066693,27261131,0.045822383
Netherlands,Male,0.133486447,0.041588068,44863.351,46007.853,0.025510845,93.7,109.529,0.168932764,14.58,12.03,-0.174897119,16346101,17030314,0.041857872
Netherlands,Female,0.363416463,0.227388768,44863.351,46007.853,0.025510845,93.7,109.529,0.168932764,14.58,12.03,-0.174897119,16346101,17030314,0.041857872
Netherlands,Both,0.214799909,0.103894301,44863.351,46007.853,0.025510845,93.7,109.529,0.168932764,14.58,12.03,-0.174897119,16346101,17030314,0.041857872
New Zealand,Male,0.294596472,0.111666381,26671.329,40105.613,0.503697585,89.942,108.641,0.207900647,7.04,5.99,-0.149147727,4184600,4693200,0.121540888
New Zealand,Female,0.389670107,0.192650425,26671.329,40105.613,0.503697585,89.942,108.641,0.207900647,7.04,5.99,-0.149147727,4184600,4693200,0.121540888
New Zealand,Both,0.336068477,0.147098552,26671.329,40105.613,0.503697585,89.942,108.641,0.207900647,7.04,5.99,-0.149147727,4184600,4693200,0.121540888
Nicaragua,Male,0.432667536,0.446990516,1226.643,2107.567,0.718158421,68.681,141.7,1.063161573,23.03,17.73,-0.230134607,5513763,6303974,0.143316098
Nicaragua,Female,0.441831707,0.443853987,1226.643,2107.567,0.718158421,68.681,141.7,1.063161573,23.03,17.73,-0.230134607,5513763,6303974,0.143316098
Nicaragua,Both,0.436083939,0.445841722,1226.643,2107.567,0.718158421,68.681,141.7,1.063161573,23.03,17.73,-0.230134607,5513763,6303974,0.143316098
Niger,Male,0.579133067,0.666295035,335.341,494.719,0.47527144,88.562,105.922,0.196020867,73.44,87.71,0.194308279,14143971,20788838,0.46980208
Niger,Female,0.377289936,0.418396275,335.341,494.719,0.47527144,88.562,105.922,0.196020867,73.44,87.71,0.194308279,14143971,20788838,0.46980208
Niger,Both,0.512677616,0.587748181,335.341,494.719,0.47527144,88.562,105.922,0.196020867,73.44,87.71,0.194308279,14143971,20788838,0.46980208
Nigeria,Male,0.173228174,0.304338676,1656.425,2176,0.313672518,66.438,183.853,1.767286794,59.66,71.37,0.196278914,142538308,185960289,0.304633762
Nigeria,Female,0.178594557,0.233290221,1656.425,2176,0.313672518,66.438,183.853,1.767286794,59.66,71.37,0.196278914,142538308,185960289,0.304633762
Nigeria,Both,0.174739504,0.282261432,1656.425,2176,0.313672518,66.438,183.853,1.767286794,59.66,71.37,0.196278914,142538308,185960289,0.304633762
Norway,Male,0.137157541,-0.011925242,74148.32,70459.183,-0.049753481,91.431,112.442,0.229801708,8.36,6.96,-0.167464115,4660677,5234519,0.123124173
Norway,Female,0.27979253,0.124373734,74148.32,70459.183,-0.049753481,91.431,112.442,0.229801708,8.36,6.96,-0.167464115,4660677,5234519,0.123124173
Norway,Both,0.196895572,0.043115939,74148.32,70459.183,-0.049753481,91.431,112.442,0.229801708,8.36,6.96,-0.167464115,4660677,5234519,0.123124173
Oman,Male,2.526946089,2.457405021,14420.517,14618.875,0.013755263,78.703,110.62,0.405537273,39.66,41.78,0.053454362,2580758,4479219,0.735621472
Oman,Female,0.846047105,0.780643666,14420.517,14618.875,0.013755263,78.703,110.62,0.405537273,39.66,41.78,0.053454362,2580758,4479219,0.735621472
Oman,Both,2.090015688,2.020681916,14420.517,14618.875,0.013755263,78.703,110.62,0.405537273,39.66,41.78,0.053454362,2580758,4479219,0.735621472
Pakistan,Male,0.229517941,0.250208913,836.861,1368.454,0.635222576,60.197,150.753,1.504327458,63.38,58.63,-0.074944778,164022627,203627284,0.241458497
Pakistan,Female,0.360672768,0.369069561,836.861,1368.454,0.635222576,60.197,150.753,1.504327458,63.38,58.63,-0.074944778,164022627,203627284,0.241458497
Pakistan,Both,0.245464285,0.269699386,836.861,1368.454,0.635222576,60.197,150.753,1.504327458,63.38,58.63,-0.074944778,164022627,203627284,0.241458497
Panama,Male,0.279569984,0.20166673,5348.895,14343.964,1.681668644,83.283,120.523,0.447150079,14.12,11.47,-0.187677054,3391666,4037078,0.190293502
Panama,Female,0.416639332,0.37500934,5348.895,14343.964,1.681668644,83.283,120.523,0.447150079,14.12,11.47,-0.187677054,3391666,4037078,0.190293502
Panama,Both,0.319871296,0.252537988,5348.895,14343.964,1.681668644,83.283,120.523,0.447150079,14.12,11.47,-0.187677054,3391666,4037078,0.190293502
Papua New Guinea,Male,0.334781198,0.373965502,1256.979,2509.631,0.996557619,78.933,136.339,0.727275031,14.52,12.62,-0.130853994,6646895,8271760,0.244454742
Papua New Guinea,Female,0.450036019,0.459711639,1256.979,2509.631,0.996557619,78.933,136.339,0.727275031,14.52,12.62,-0.130853994,6646895,8271760,0.244454742
